고유번호,언어,상호명,콘텐츠URL,주소,신주소,전화번호,팩스번호,웹사이트,운영시간,운영요일,휴무일,교통정보,태그,장애인편의시설
6886,ja,キョンヒ(慶熙)大?韓???史博物館,https://japanese.visitseoul.net/attractions/museum-of-korean-medical-history-at-kyung-hee-university-jp/JPP006886?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP006886,130-050 ソウル市東大門?回基洞 1,130-050 ソウルトンデムン(東大門)?慶熙大路26 ,-4074,,,10:00?16:00,,土·日曜日および祝祭日,"地下?1?線「フェギ」? 1番出口,  1.2km","文化,韓???史博物館,博物館·記念館,漢方??,韓方,韓??,ウェデアプ?,キョンヒ大?,平和の殿堂,慶熙大?韓???史博物館",
1172,ja,キョンヒグン(慶熙宮),https://japanese.visitseoul.net/attractions/gyeonghuigung-palace-jp/JPP001159?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP001159,110-062 ソウル市鐘路?新門路2街 1-126 ,03177 ソウル市チョンノ(鐘路)?セムナンロ45(慶熙宮) (新門路2街),-918,,https://museum.seoul.go.kr/www/intro/annexIntro/annex_20/annex_20_01.jsp?sso=ok,09:00~18:00,火曜日~日曜日,月曜日、1月1日,"地下?5?線「ソデムン」?4番出口,  639m  地下?5?線「 クァンファムン(セジョン文化?館)」?1番出口,  875m","?きやすい道,故宮ツア?,慶熙宮散?路,鍾路散?,ソウル散?,ソウル?史博物館,ソウル宮殿,慶熙宮,故宮デ?ト,韓?宮殿,鍾路散?路,ソウル5大宮殿,鍾路デ?トコ?ス,ソウル古宮",?の不自由な方のための?用駐車場
47074,ja,キョンボックン(景福宮) チプオクジェ(集玉?),https://japanese.visitseoul.net/attractions/2024-Jibokjae/JPPfk9nxi?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPPfk9nxi, ソウル市チョンノ(鐘路)?世宗路1-1 ,03045 ソウル市チョンノ(鐘路)?サジクロ161 ,-12092,,,10:00 ~ 16:00,水曜日?月曜日,火曜日定休,"地下?3?線「キョンボックン(政府ソウル??)」?5番出口,  1.1km","集玉?,クァンファムン,チプオクジェ,キョンボックン,光化門,?書館,チョンワデ,?瓦台,景福宮",
11838,ja,キンポ(金浦)空港?光情報センタ?,https://japanese.visitseoul.net/attractions/gimpo-international-airport-tourist-information-center-jp/JPP011835?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP011835, ソウル市江西?果海洞 886金浦空港, ソウル市カンソ(江西)?ハヌルギル38 (傍花洞),+82-2-2660-2486~7／+82-2-120,,https://www.sta.or.kr/,10:00?19:00,,年中無休,空港?道:キンポ(金浦)空港?際線、地下?9?線:キンポ(金浦)空港?際線、金浦ゴ?ルドライン:キンポ(金浦)空港?際線、ソヘ(西海)線:キンポ(金浦)空港?際線、地下?5?線:キンポ(金浦)空港?際線 (地下?利用時の方向によって?際線と??線へ移動が可能),"?光案?,金浦空港?光情報センタ?,ランドマ?ク",
22981,ja,ギャラリ?·ファクトリ?,https://japanese.visitseoul.net/attractions/garally-factory-jp/JPP002247?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP002247,110-034 ソウル市鐘路?昌成洞 127-3,03043 ソウル市チョンノ(鐘路)?チャハムンロ10ギル15 (昌成洞),-5536,,http://factory483.org,11:00~19:00 （展示別賞）,,月曜日,"地下?3?線「キョンボックン(政府ソウル??)」?3番出口,  461m","通仁市場,昌成洞,ギャラリ?ファクトリ?,ギャラリ?,鐘路??,景福宮,ファクトリ?,西村,西村ギャラリ?",
50410,ja,ギャラリ?朝鮮,https://japanese.visitseoul.net/attractions/gallerychosun/JPP5hau1h?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP5hau1h, ソウル市チョンノ(鐘路)?プクチョンロ5ギル64 ,03053 ソウル市チョンノ(鐘路)?プクチョンロ5ギル64 ,-7776,,https://www.gallerychosun.com/ko/,10:30-18:30,,?週月曜日,地下?3?線「アングク(現代建設)」?2番出口 582m,"サムチョンドン(三?洞)ギャラリ?,アングク?,現代美術,MZコレクタ?,サムチョンドン(三?洞)展示,ソウル展示,ギャラリ?朝鮮",
23921,zh-CN,SEO?廊,https://chinese.visitseoul.net/attractions/SEO?廊/CNP001966?utm_source=seoulopendata&utm_medium=attractions&utm_content=CNP001966, 首?市瑞草?瑞草洞1544-4 ,06648 首?市瑞草??浦大路94 ,-6115,,,10:00 - 17:00 (KST),,周六、周日休?,2?? 瑞草站2?出口步行7分? ,"照片,??,SEO Gallery,?廊,文化,展?,建筑,雕刻,??,美??,?廊,??",
19842,en,Templestay Information Center,https://english.visitseoul.net/attractions/Templestay-Information-Center/ENP019558?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP019558,"110-170 71, Gyeonji-dong, Jongno-gu, Seoul ","03145 56, Ujeongguk-ro, Jongno-gu, Seoul ",-3951,,https://eng.templestay.com/,- Monday to Friday: 09:00 - 19:00   - Saturday to Sunday: 09:00 - 18:00  ,,Closed on January 1st and during the Lunar New Year/Chuseok holidays ,"Subway Line 3, Anguk Station, Exit 6,  272m","Insadong,TraditionalCulture,Buddhism,Cultural,AngukStation,BuddhistTemple,TempleStayActivity,Jongno,TempleStay",
23649,ja,ギャラリ?現代,https://japanese.visitseoul.net/attractions/gallery-hyundai-jp/JPP001694?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP001694,110-190 ソウル市鍾路?司諫洞 82-1,03062 ソウル市チョンノ(鍾路)?サムチョンロ14 (司諫洞),-5707,,http://www.galleryhyundai.com/,10:00?18:00,,月曜日,"地下?3?線「アングク」? 1番出口,  595m","景福宮,展示,文化,司諫洞,美術,美術館,安?,ギャラリ?現代,鐘路,三?洞",
24165,ja,クァンヒムン(光熙門),https://japanese.visitseoul.net/attractions/gwanghuimun-gate-jp/JPP023605?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP023605,100-888 ソウル市中?新堂洞228-16 ,04612 ソウル市チュン(中)?トェゲロ350 (新堂洞),-9171,,,24時間,年中無休,年中無休,"地下?2?線/4?線5?線「トンデムン·ヨッサムンファゴンウォン」?3番出口,  143m","彰義門,昭義門,?化門,光熙門,水口門,東大門,屍?門,ソウル城郭,東大門?史文化公園,?宗??,4小門,西小門,閔?厚,ソウル4小門",
